Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
45;21100446263;"2016 AIAA Guidance, Navigation, and Control Conference";conference and proceedings;"00002016";0,241;-;9;0;238;0;222;237;0,94;0,00;United States;"";"2016";"Aerospace Engineering; Control and Systems Engineering; Electrical and Electronic Engineering; Multidisciplinary"
46;23697;"Science Progress";journal;"00368504";0,240;Q2;31;11;84;707;74;66;1,33;64,27;United Kingdom;"Science Reviews Ltd.";"1948-1949, 1960-1961, 1963, 1965-1972, 1974-1993, 1995-ongoing";"Multidisciplinary (Q2)"
47;19700166903;"Universitas Scientiarum";journal;"01227483";0,234;Q2;8;18;51;694;30;51;0,52;38,56;Colombia;"Pontificia Universidad Javeriana";"2009-ongoing";"Multidisciplinary (Q2)"
48;145365;"Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition)";journal;"16715497";0,233;Q2;17;245;871;3896;365;871;0,43;15,90;China;"Jilin University";"2005-ongoing";"Multidisciplinary (Q2)"
49;23531;"Sadhana - Academy Proceedings in Engineering Sciences";journal;"09737677, 02562499";0,231;Q2;43;212;443;7572;462;438;1,00;35,72;India;"Springer India";"1984-ongoing";"Multidisciplinary (Q2)"
50;7700153224;"Sains Malaysiana";journal;"01266039";0,228;Q2;23;348;732;11766;544;732;0,65;33,81;Malaysia;"Universiti Kebangsaan Malaysia";"2006-ongoing";"Multidisciplinary (Q2)"
51;3900148513;"Journal of Applied Sciences";journal;"18125654, 18125662";0,221;Q2;33;0;16;0;19;16;0,00;0,00;Pakistan;"Asian Network for Scientific Information";"2006-2013 (cancelled)";"Multidisciplinary (Q2)"
52;61482;"Liaoning Gongcheng Jishu Daxue Xuebao (Ziran Kexue Ban)/Journal of Liaoning Technical University (Natural Science Edition)";journal;"10080562";0,220;Q2;15;155;790;2289;161;790;0,16;14,77;China;"Liaoning Technical University";"2001-ongoing";"Multidisciplinary (Q2)"
53;19700173166;"Acta Polytechnica Hungarica";journal;"20642687, 17858860";0,215;Q2;25;67;302;2172;396;296;1,51;32,42;Hungary;"Obuda University";"2004-ongoing";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)"
54;19700170618;"Maejo International Journal of Science and Technology";journal;"19057873";0,213;Q2;14;18;87;529;43;80;0,45;29,39;Thailand;"Maejo University";"2009-ongoing";"Multidisciplinary (Q2)"
55;18761;"Advances in Complex Systems";journal;"02195259";0,211;Q2;27;29;54;1428;43;53;0,94;49,24;Singapore;"World Scientific Publishing Co";"2004-ongoing";"Multidisciplinary (Q2); Control and Systems Engineering (Q3)"
